timestamp,event,track_id,zone_or_line,direction
1755856152,zone_enter,258,Zone 1,
1755856153,zone_leave,258,Zone 1,
1755856167,zone_enter,265,Zone 1,
1755856168,zone_leave,265,Zone 1,
1755856188,zone_enter,303,Zone 1,
1755856190,zone_leave,303,Zone 1,
1755856250,zone_enter,383,Zone 1,
1755856250,zone_leave,383,Zone 1,
1755856288,zone_enter,435,Zone 1,
1755856289,zone_leave,435,Zone 1,
1755856290,zone_enter,435,Zone 1,
1755856290,zone_leave,435,Zone 1,
1755856350,zone_enter,501,Zone 1,
1755856351,zone_enter,502,Zone 1,
1755856351,zone_leave,501,Zone 1,
1755856351,zone_leave,502,Zone 1,
1755856358,zone_enter,508,Zone 1,
1755856360,zone_leave,508,Zone 1,
1755856364,zone_enter,518,Zone 1,
1755856365,zone_enter,519,Zone 1,
1755856365,zone_leave,518,Zone 1,
1755856365,zone_enter,520,Zone 1,
1755856365,zone_leave,519,Zone 1,
1755856366,zone_leave,520,Zone 1,
1755856366,zone_enter,516,Zone 1,
1755856376,zone_leave,516,Zone 1,
1755856377,zone_enter,516,Zone 1,
1755856383,zone_leave,516,Zone 1,
1755856384,zone_enter,556,Zone 1,
1755856384,zone_leave,556,Zone 1,
1755856384,zone_enter,556,Zone 1,
1755856385,zone_leave,556,Zone 1,
1755856389,zone_enter,582,Zone 1,
1755856389,zone_enter,584,Zone 1,
1755856390,zone_enter,585,Zone 1,
1755856390,zone_enter,586,Zone 1,
1755856390,zone_leave,584,Zone 1,
1755856390,zone_leave,582,Zone 1,
1755856390,zone_leave,585,Zone 1,
1755856393,zone_enter,589,Zone 1,
1755856393,zone_leave,586,Zone 1,
1755856394,zone_leave,589,Zone 1,
1755856435,zone_enter,674,Zone 1,
1755856435,zone_enter,675,Zone 1,
1755856435,zone_leave,674,Zone 1,
1755856438,zone_enter,678,Zone 1,
1755856438,zone_leave,675,Zone 1,
1755856438,zone_leave,678,Zone 1,
1755856439,zone_enter,679,Zone 1,
1755856439,zone_leave,679,Zone 1,
1755856468,zone_enter,702,Zone 1,
1755856492,zone_enter,754,Zone 1,
1755856493,zone_enter,758,Zone 1,
1755856493,zone_leave,754,Zone 1,
1755856493,zone_enter,759,Zone 1,
1755856493,zone_leave,702,Zone 1,
1755856493,zone_leave,758,Zone 1,
1755856493,zone_enter,761,Zone 1,
1755856493,zone_enter,762,Zone 1,
1755856493,zone_leave,759,Zone 1,
1755856494,zone_enter,764,Zone 1,
1755856494,zone_leave,761,Zone 1,
1755856494,zone_leave,762,Zone 1,
1755856494,zone_enter,765,Zone 1,
1755856494,zone_leave,764,Zone 1,
1755856495,zone_leave,765,Zone 1,
1755856495,zone_enter,768,Zone 1,
1755856495,zone_leave,768,Zone 1,
1755856500,zone_enter,775,Zone 1,
1755856523,zone_leave,775,Zone 1,
1755856532,zone_enter,800,Zone 1,
1755856533,zone_leave,800,Zone 1,
1755856533,zone_enter,800,Zone 1,
1755856533,zone_enter,810,Zone 1,
1755856533,zone_leave,810,Zone 1,
1755856534,zone_enter,811,Zone 1,
1755856536,zone_leave,811,Zone 1,
1755856537,zone_enter,812,Zone 1,
1755856538,zone_leave,812,Zone 1,
1755856543,zone_enter,818,Zone 1,
1755856543,zone_leave,800,Zone 1,
1755856544,zone_enter,819,Zone 1,
1755856544,zone_leave,818,Zone 1,
1755856545,zone_enter,820,Zone 1,
1755856545,zone_leave,819,Zone 1,
1755856546,zone_enter,821,Zone 1,
1755856546,zone_leave,820,Zone 1,
1755856546,zone_enter,822,Zone 1,
1755856546,zone_leave,821,Zone 1,
1755856546,zone_enter,823,Zone 1,
1755856546,zone_leave,822,Zone 1,
1755856547,zone_enter,824,Zone 1,
1755856547,zone_leave,823,Zone 1,
1755856547,zone_enter,825,Zone 1,
1755856547,zone_leave,824,Zone 1,
1755856547,zone_enter,826,Zone 1,
1755856547,zone_leave,825,Zone 1,
1755856548,zone_enter,827,Zone 1,
1755856548,zone_leave,826,Zone 1,
1755856548,zone_enter,828,Zone 1,
1755856548,zone_leave,827,Zone 1,
1755856548,zone_leave,828,Zone 1,
1755856549,zone_enter,829,Zone 1,
1755856549,zone_enter,830,Zone 1,
1755856549,zone_leave,829,Zone 1,
1755856550,zone_enter,831,Zone 1,
1755856550,zone_leave,830,Zone 1,
1755856550,zone_enter,832,Zone 1,
1755856550,zone_leave,831,Zone 1,
1755856551,zone_leave,832,Zone 1,
1755856552,zone_enter,834,Zone 1,
1755856552,zone_leave,834,Zone 1,
1755856553,zone_enter,837,Zone 1,
1755856553,zone_enter,839,Zone 1,
1755856553,zone_leave,837,Zone 1,
1755856554,zone_leave,839,Zone 1,
1755856611,zone_enter,905,Zone 1,
1755856612,zone_leave,905,Zone 1,
1755856612,zone_enter,905,Zone 1,
1755856614,zone_enter,913,Zone 1,
1755856615,zone_leave,913,Zone 1,
1755856615,zone_enter,914,Zone 1,
1755856615,zone_leave,914,Zone 1,
1755856625,zone_leave,905,Zone 1,
1755856630,zone_enter,957,Zone 1,
1755856631,zone_enter,963,Zone 1,
1755856631,zone_enter,964,Zone 1,
1755856631,zone_leave,957,Zone 1,
1755856632,zone_enter,965,Zone 1,
1755856632,zone_enter,966,Zone 1,
1755856632,zone_leave,963,Zone 1,
1755856632,zone_leave,964,Zone 1,
1755856633,zone_enter,968,Zone 1,
1755856633,zone_enter,970,Zone 1,
1755856633,zone_leave,965,Zone 1,
1755856633,zone_leave,966,Zone 1,
1755856633,zone_enter,972,Zone 1,
1755856633,zone_leave,968,Zone 1,
1755856633,zone_leave,970,Zone 1,
1755856634,zone_enter,976,Zone 1,
1755856634,zone_leave,972,Zone 1,
1755856635,zone_enter,979,Zone 1,
1755856635,zone_leave,976,Zone 1,
1755856636,zone_enter,982,Zone 1,
1755856636,zone_leave,982,Zone 1,
1755856638,zone_enter,987,Zone 1,
1755856638,zone_enter,989,Zone 1,
1755856638,zone_leave,987,Zone 1,
1755856639,zone_leave,989,Zone 1,
1755856639,zone_enter,991,Zone 1,
1755856640,zone_enter,992,Zone 1,
1755856640,zone_leave,991,Zone 1,
1755856640,zone_leave,979,Zone 1,
1755856641,zone_enter,996,Zone 1,
1755856641,zone_leave,992,Zone 1,
1755856641,zone_enter,957,Zone 1,
1755856641,zone_leave,996,Zone 1,
1755856642,zone_leave,957,Zone 1,
1755856642,zone_enter,957,Zone 1,
1755856642,zone_leave,957,Zone 1,
1755856643,zone_enter,957,Zone 1,
1755856645,zone_enter,1005,Zone 1,
1755856646,zone_leave,1005,Zone 1,
1755856648,zone_enter,1009,Zone 1,
1755856648,zone_leave,1009,Zone 1,
1755856649,zone_leave,957,Zone 1,
1755856650,zone_enter,1010,Zone 1,
1755856656,zone_enter,1014,Zone 1,
1755856656,zone_leave,1014,Zone 1,
1755856661,zone_leave,1010,Zone 1,
1755856662,zone_enter,1032,Zone 1,
1755856663,zone_leave,1032,Zone 1,
1755856802,zone_enter,1,Zone 1,
1755856802,zone_enter,3,Zone 1,
1755856803,zone_enter,6,Zone 1,
1755856803,zone_leave,1,Zone 1,
1755856803,zone_leave,3,Zone 1,
1755856806,zone_enter,10,Zone 1,
1755856806,zone_enter,11,Zone 1,
1755856806,zone_leave,10,Zone 1,
1755856807,zone_leave,11,Zone 1,
1755856807,zone_enter,12,Zone 1,
1755856808,zone_enter,13,Zone 1,
1755856808,zone_leave,12,Zone 1,
1755856808,zone_leave,13,Zone 1,
1755856808,zone_enter,13,Zone 1,
1755856811,zone_enter,3,Zone 1,
1755856811,zone_leave,13,Zone 1,
1755856812,zone_leave,3,Zone 1,
1755856812,zone_leave,6,Zone 1,
1755856813,zone_enter,3,Zone 1,
1755856821,zone_enter,21,Zone 1,
1755856821,zone_leave,3,Zone 1,
1755856825,zone_leave,21,Zone 1,
1755856836,zone_enter,30,Zone 1,
1755856837,zone_leave,30,Zone 1,
1755856838,zone_enter,31,Zone 1,
1755856839,zone_leave,31,Zone 1,
1755856842,zone_enter,36,Zone 1,
1755856842,zone_enter,37,Zone 1,
1755856842,zone_leave,36,Zone 1,
1755856845,zone_enter,39,Zone 1,
1755856845,zone_leave,37,Zone 1,
1755856845,zone_leave,39,Zone 1,
1755856846,zone_enter,40,Zone 1,
1755856846,zone_leave,40,Zone 1,
1755856846,zone_enter,42,Zone 1,
1755856847,zone_leave,42,Zone 1,
1755856848,zone_enter,45,Zone 1,
1755856853,zone_enter,43,Zone 1,
1755856854,zone_leave,45,Zone 1,
1755856856,zone_leave,43,Zone 1,
1755856872,zone_enter,62,Zone 1,
1755856872,zone_leave,62,Zone 1,
1755856873,zone_enter,68,Zone 1,
1755856873,zone_enter,62,Zone 1,
1755856873,zone_leave,68,Zone 1,
1755856873,zone_leave,62,Zone 1,
1755856874,zone_enter,62,Zone 1,
1755856875,zone_leave,62,Zone 1,
1755856877,zone_enter,62,Zone 1,
1755856877,zone_leave,62,Zone 1,
1755856878,zone_enter,62,Zone 1,
1755856878,zone_leave,62,Zone 1,
1755856879,zone_enter,62,Zone 1,
1755856881,zone_leave,62,Zone 1,
1755856882,zone_enter,62,Zone 1,
1755856883,zone_leave,62,Zone 1,
1755856883,zone_enter,62,Zone 1,
1755856884,zone_leave,62,Zone 1,
1755856884,zone_enter,62,Zone 1,
1755856885,zone_leave,62,Zone 1,
1755856885,zone_enter,62,Zone 1,
1755856887,zone_leave,62,Zone 1,
1755856887,zone_enter,93,Zone 1,
1755856887,zone_enter,94,Zone 1,
1755856887,zone_leave,94,Zone 1,
1755856888,zone_leave,93,Zone 1,
1755856889,zone_enter,100,Zone 1,
1755856890,zone_enter,103,Zone 1,
1755856890,zone_leave,100,Zone 1,
1755856891,zone_enter,106,Zone 1,
1755856891,zone_leave,103,Zone 1,
1755856891,zone_enter,109,Zone 1,
1755856891,zone_leave,106,Zone 1,
1755856891,zone_enter,112,Zone 1,
1755856891,zone_leave,109,Zone 1,
1755856892,zone_enter,115,Zone 1,
1755856892,zone_leave,112,Zone 1,
1755856892,zone_enter,118,Zone 1,
1755856892,zone_leave,115,Zone 1,
1755856892,zone_enter,120,Zone 1,
1755856892,zone_leave,118,Zone 1,
1755856893,zone_enter,124,Zone 1,
1755856893,zone_leave,120,Zone 1,
1755856893,zone_enter,125,Zone 1,
1755856893,zone_leave,124,Zone 1,
1755856893,zone_enter,128,Zone 1,
1755856893,zone_enter,127,Zone 1,
1755856893,zone_leave,125,Zone 1,
1755856894,zone_enter,130,Zone 1,
1755856894,zone_enter,131,Zone 1,
1755856894,zone_leave,128,Zone 1,
1755856894,zone_leave,127,Zone 1,
1755856894,zone_enter,133,Zone 1,
1755856894,zone_leave,130,Zone 1,
1755856895,zone_enter,134,Zone 1,
1755856895,zone_leave,131,Zone 1,
1755856895,zone_leave,133,Zone 1,
1755856897,zone_enter,135,Zone 1,
1755856897,zone_leave,135,Zone 1,
1755856897,zone_enter,136,Zone 1,
1755856898,zone_enter,137,Zone 1,
1755856898,zone_enter,138,Zone 1,
1755856898,zone_leave,136,Zone 1,
1755856898,zone_leave,138,Zone 1,
1755856898,zone_leave,137,Zone 1,
1755858638,line_cross,2614,Ligne 4,AtoB
1755858639,line_cross,2615,Ligne 4,AtoB
1755858686,line_cross,2670,Ligne 4,BtoA
1755858714,line_cross,2694,Ligne 4,BtoA
1755858786,line_cross,2761,Ligne 4,BtoA
1755858797,line_cross,2753,Ligne 4,AtoB
1755858829,line_cross,2809,Ligne 4,BtoA
1755858857,line_cross,2857,Ligne 4,BtoA
1755858861,line_cross,2878,Ligne 4,BtoA
1755858911,line_cross,2934,Ligne 4,BtoA
1755858927,line_cross,2956,Ligne 4,BtoA
1755858928,line_cross,2959,Ligne 4,BtoA
1755858928,line_cross,2963,Ligne 4,BtoA
1755858928,line_cross,2953,Ligne 4,BtoA
1755859965,zone_enter,1,Zone 1,
1755859966,zone_enter,2,Zone 1,
1755859966,zone_leave,1,Zone 1,
1755859967,zone_leave,2,Zone 1,
1755859967,zone_enter,4,Zone 1,
